 StartTime:50 EndTime: 300 Range: 50000000 CostTradeOff: 100.0 SelectTargets when Idle: true
# Time  NumBuildings  NumBurining  numOnceBurned  numDestroyed  totalAreaDestroyed violatedConstraints
51 734 64 64 0 0.0 9
52 734 67 67 0 0.0 10
53 734 70 70 0 0.0 10
54 734 73 73 0 0.0 18
55 734 77 77 0 0.0 5
56 734 80 80 0 0.0 12
57 734 83 83 0 0.0 10
58 734 90 90 0 0.0 16
59 734 92 93 1 0.037 13
60 734 95 96 1 0.042 17
61 734 97 99 2 0.204 26
62 734 104 104 0 0.0 6
63 734 103 104 1 0.16 13
64 734 104 106 2 0.228 8
65 734 104 108 4 0.432 8
66 734 110 113 3 0.39 19
67 734 115 116 1 0.162 11
68 734 117 119 2 0.259 15
69 734 116 119 3 0.525 20
70 734 118 122 4 0.448 7
71 734 117 122 5 0.516 7
72 734 117 122 5 0.655 9
73 734 123 127 4 0.558 24
74 734 129 133 4 0.558 7
75 734 131 135 4 0.558 12
76 734 136 139 3 0.515 16
77 734 138 142 4 0.544 10
78 734 141 146 5 0.692 9
79 734 142 147 5 0.909 15
80 734 143 148 5 0.909 7
81 734 145 151 6 1.002 9
82 734 151 157 6 1.002 14
83 734 154 162 8 1.204 16
84 734 155 163 8 1.204 14
85 734 154 164 10 1.421 5
86 734 156 166 10 1.421 6
87 734 157 168 11 1.518 4
88 734 160 174 14 1.831 20
89 734 159 176 17 1.82 13
90 734 162 179 17 1.82 14
91 734 162 182 20 2.059 14
92 734 163 182 19 2.182 7
93 734 167 186 19 1.992 6
94 734 170 190 20 2.244 9
95 734 173 195 22 2.325 10
96 734 177 199 22 2.266 9
97 734 175 199 24 2.353 9
98 734 176 201 25 2.39 9
99 734 176 202 26 2.54 17
100 734 175 204 29 3.077 15
101 734 177 206 29 3.079 11
102 734 179 207 28 2.989 14
103 734 178 210 32 3.186 7
104 734 179 214 35 3.354 18
105 734 179 216 37 3.407 25
106 734 179 219 40 3.541 20
107 734 180 222 42 3.808 10
108 734 184 227 43 3.92 14
109 734 189 232 43 3.907 20
110 734 189 234 45 4.047 14
111 734 188 236 48 4.311 14
112 734 189 238 49 4.357 16
113 734 187 238 51 4.551 74
114 734 183 241 58 5.048 44
115 734 183 242 59 5.263 58
116 734 182 243 61 5.567 44
117 734 186 246 60 5.528 26
118 734 188 250 62 5.679 29
119 734 184 252 68 6.002 27
120 734 187 258 71 6.108 35
121 734 191 261 70 6.019 11
122 734 190 263 73 6.171 18
123 734 195 267 72 6.131 19
124 734 197 269 72 6.178 9
125 734 198 271 73 6.324 8
126 734 201 275 74 6.414 8
127 734 197 276 79 6.756 8
128 734 198 279 81 6.857 8
129 734 198 286 88 7.254 11
130 734 198 288 90 7.336 14
131 734 197 290 93 7.494 10
132 734 194 291 97 7.827 13
133 734 194 293 99 8.071 14
134 734 191 294 103 8.272 14
135 734 190 295 105 8.347 17
136 734 189 297 108 8.398 16
137 734 192 298 106 8.385 10
138 734 193 300 107 8.454 17
139 734 197 302 105 8.395 18
140 734 194 303 109 8.595 20
141 734 193 304 111 8.713 12
142 734 191 305 114 8.965 18
143 734 191 307 116 9.077 15
144 734 189 308 119 9.267 16
145 734 186 310 124 9.727 13
146 734 187 312 125 9.846 19
147 734 187 312 125 9.846 19
148 734 185 313 128 9.981 21
