 StartTime:30 EndTime: 300 Range: 50000000 CostTradeOff: 100.0 SelectTargets when Idle: true
# Time  NumBuildings  NumBurining  numOnceBurned  numDestroyed  totalAreaDestroyed violatedConstraints
31 734 26 26 0 0.0 45
32 734 30 30 0 0.0 21
33 734 31 31 0 0.0 17
34 734 33 33 0 0.0 45
35 734 34 34 0 0.0 21
36 734 35 35 0 0.0 32
37 734 37 37 0 0.0 58
38 734 38 38 0 0.0 58
39 734 38 38 0 0.0 58
40 734 39 39 0 0.0 58
41 734 40 40 0 0.0 58
42 734 42 43 1 0.155 57
43 734 45 46 1 0.155 57
44 734 47 49 2 0.301 66
45 734 49 51 2 0.301 67
46 734 52 54 2 0.208 57
47 734 53 55 2 0.208 57
48 734 53 56 3 0.374 67
49 734 54 57 3 0.374 67
