 StartTime:19 EndTime: 300 Range: 50000000 CostTradeOff: 100.0 SelectTargets when Idle: true
# Time  NumBuildings  NumBurining  numOnceBurned  numDestroyed  totalAreaDestroyed violatedConstraints
20 734 13 13 0 0.0 16
21 734 13 13 0 0.0 16
22 734 13 13 0 0.0 21
23 734 15 15 0 0.0 15
24 734 17 17 0 0.0 15
25 734 19 19 0 0.0 15
26 734 18 19 1 0.025 17
27 734 20 21 1 0.042 15
28 734 21 22 1 0.042 18
29 734 21 22 1 0.042 16
30 734 18 22 4 0.247 15
31 734 21 24 3 0.205 25
32 734 20 25 5 0.407 20
33 734 20 26 6 0.434 22
34 734 20 27 7 0.459 27
35 734 21 27 6 0.322 32
36 734 20 27 7 0.341 32
37 734 20 27 7 0.341 32
38 734 20 28 8 0.414 30
39 734 22 28 6 0.235 27
40 734 22 29 7 0.293 32
41 734 24 30 6 0.251 27
42 734 23 30 7 0.274 32
43 734 25 31 6 0.246 37
44 734 26 33 7 0.29 43
45 734 26 33 7 0.26 43
46 734 26 33 7 0.26 43
47 734 26 33 7 0.331 27
48 734 26 33 7 0.331 27
49 734 27 34 7 0.354 33
50 734 27 34 7 0.354 28
51 734 27 34 7 0.354 28
52 734 29 36 7 0.354 28
53 734 29 36 7 0.354 23
54 734 30 36 6 0.306 27
55 734 31 37 6 0.306 37
56 734 35 38 3 0.109 33
57 734 37 40 3 0.109 15
58 734 37 40 3 0.109 21
59 734 37 40 3 0.109 17
60 734 36 41 5 0.194 18
61 734 34 41 7 0.442 31
62 734 36 42 6 0.354 27
63 734 38 43 5 0.303 25
64 734 37 43 6 0.346 29
65 734 41 45 4 0.143 22
66 734 41 45 4 0.143 22
67 734 43 47 4 0.143 30
68 734 42 47 5 0.309 26
69 734 42 47 5 0.309 26
70 734 43 48 5 0.309 26
71 734 42 48 6 0.575 26
72 734 44 49 5 0.409 27
73 734 45 50 5 0.409 27
74 734 46 51 5 0.409 27
75 734 44 51 7 0.679 25
76 734 45 52 7 0.679 25
77 734 49 56 7 0.655 32
78 734 47 56 9 0.846 37
79 734 48 57 9 0.833 27
80 734 49 57 8 0.79 27
81 734 49 57 8 0.79 27
82 734 49 58 9 0.883 27
83 734 51 59 8 0.846 37
84 734 51 59 8 0.846 37
85 734 51 59 8 0.846 37
86 734 54 62 8 0.846 37
87 734 55 64 9 0.92 37
88 734 56 65 9 0.92 37
89 734 58 67 9 0.92 37
90 734 59 69 10 0.97 37
91 734 60 70 10 0.989 37
92 734 60 70 10 0.989 37
93 734 60 70 10 1.081 37
94 734 58 70 12 1.188 25
95 734 61 73 12 1.154 35
96 734 61 73 12 1.154 35
97 734 62 76 14 1.354 24
98 734 65 78 13 1.304 27
99 734 67 80 13 1.304 24
100 734 68 81 13 1.304 30
101 734 70 84 14 1.366 30
102 734 70 84 14 1.366 37
103 734 69 85 16 1.428 27
104 734 71 86 15 1.386 27
105 734 72 87 15 1.386 37
106 734 71 87 16 1.418 37
107 734 69 87 18 1.603 35
108 734 72 90 18 1.603 27
109 734 69 91 22 1.809 36
110 734 68 93 25 2.158 26
111 734 69 93 24 2.124 24
112 734 69 94 25 2.268 30
113 734 69 94 25 2.268 28
114 734 70 95 25 2.289 25
115 734 76 98 22 2.089 25
116 734 76 98 22 2.089 25
117 734 76 98 22 2.089 32
118 734 76 100 24 2.3 32
119 734 75 100 25 2.397 32
120 734 75 100 25 2.317 32
121 734 76 101 25 2.317 32
122 734 76 102 26 2.337 42
123 734 76 102 26 2.337 42
124 734 77 104 27 2.528 42
125 734 77 105 28 2.557 42
126 734 77 105 28 2.408 42
127 734 76 106 30 2.73 42
128 734 78 109 31 2.778 42
129 734 79 109 30 2.761 27
130 734 83 113 30 2.761 35
131 734 83 113 30 2.761 35
132 734 81 115 34 3.176 25
